棒位	D棒价值	C棒价值	B棒价值	A棒价值	S棒价值
89.488636	-617.29	-617.29	-617.29	-617.29	-617.29
88.210227	-621.24	-621.24	-621.24	-621.24	-621.24
86.931818	-625.01	-625.01	-625.01	-625.01	-625.01
85.653409	-628.55	-628.55	-628.55	-628.55	-628.55
84.375000	-631.97	-631.97	-631.97	-631.97	-631.97
83.096591	-635.32	-635.32	-635.32	-635.32	-635.32
81.818182	-637.85	-637.85	-637.85	-637.85	-637.85
80.539773	-641.85	-641.85	-641.85	-641.85	-641.85
79.261364	-645.04	-645.04	-645.04	-645.04	-645.04
77.982955	-648.17	-648.17	-648.17	-648.17	-648.17
76.704545	-651.19	-651.19	-651.19	-651.19	-651.19
75.426136	-654.09	-654.09	-654.09	-654.09	-654.09
74.147727	-656.82	-656.82	-656.82	-656.82	-656.82
72.869318	-659.39	-659.39	-659.39	-659.39	-659.39
71.590909	-661.85	-661.85	-661.85	-661.85	-661.85
70.312500	-664.23	-664.23	-664.23	-664.23	-664.23
69.034091	-666.25	-666.25	-666.25	-666.25	-666.25
67.755682	-668.82	-668.82	-668.82	-668.82	-668.82
66.477273	-671.04	-671.04	-671.04	-671.04	-671.04
65.198864	-673.21	-673.21	-673.21	-673.21	-673.21
63.920455	-675.29	-675.29	-675.29	-675.29	-675.29
62.642045	-677.26	-677.26	-677.26	-677.26	-677.26
61.363636	-679.09	-679.09	-679.09	-679.09	-679.09
60.085227	-680.82	-680.82	-680.82	-680.82	-680.82
58.806818	-682.47	-682.47	-682.47	-682.47	-682.47
57.528409	-684.08	-684.08	-684.08	-684.08	-684.08
56.250000	-685.62	-685.62	-685.62	-685.62	-685.62
54.971591	-687.15	-687.15	-687.15	-687.15	-687.15
53.693182	-688.63	-688.63	-688.63	-688.63	-688.63
52.414773	-690.06	-690.06	-690.06	-690.06	-690.06
51.136364	-691.42	-691.42	-691.42	-691.42	-691.42
49.857955	-692.71	-692.71	-692.71	-692.71	-692.71
48.579545	-693.9	-693.9	-693.9	-693.9	-693.9
47.301136	-695.94	-695.94	-695.94	-695.94	-695.94
46.022727	-697.12	-697.12	-697.12	-697.12	-697.12
44.744318	-697.66	-697.66	-697.66	-697.66	-697.66
43.465909	-699.19	-699.19	-699.19	-699.19	-699.19
42.187500	-700.18	-700.18	-700.18	-700.18	-700.18
40.909091	-701.14	-701.14	-701.14	-701.14	-701.14
39.630682	-702.05	-702.05	-702.05	-702.05	-702.05
38.352273	-702.92	-702.92	-702.92	-702.92	-702.92
37.073864	-703.72	-703.72	-703.72	-703.72	-703.72
35.795455	-704.47	-704.47	-704.47	-704.47	-704.47
34.517045	-705.19	-705.19	-705.19	-705.19	-705.19
33.238636	-705.9	-705.9	-705.9	-705.9	-705.9
31.960227	-706.31	-706.31	-706.31	-706.31	-706.31
30.681818	-707.25	-707.25	-707.25	-707.25	-707.25
29.403409	-707.91	-707.91	-707.91	-707.91	-707.91
28.125000	-708.55	-708.55	-708.55	-708.55	-708.55
26.846591	-709.15	-709.15	-709.15	-709.15	-709.15
25.568182	-709.74	-709.74	-709.74	-709.74	-709.74
24.289773	-710.29	-710.29	-710.29	-710.29	-710.29
23.011364	-710.8	-710.8	-710.8	-710.8	-710.8
21.732955	-711.3	-711.3	-711.3	-711.3	-711.3
20.454545	-711.78	-711.78	-711.78	-711.78	-711.78
19.176136	-712.12	-712.12	-712.12	-712.12	-712.12
17.897727	-712.71	-712.71	-712.71	-712.71	-712.71
16.619318	-713.16	-713.16	-713.16	-713.16	-713.16
15.340909	-713.59	-713.59	-713.59	-713.59	-713.59
14.062500	-714	-714	-714	-714	-714
12.784091	-714.41	-714.41	-714.41	-714.41	-714.41
11.505682	-714.79	-714.79	-714.79	-714.79	-714.79
10.227273	-715.15	-715.15	-715.15	-715.15	-715.15
8.948864	-715.51	-715.51	-715.51	-715.51	-715.51
7.670455	-715.85	-715.85	-715.85	-715.85	-715.85
6.392045	-716.14	-716.14	-716.14	-716.14	-716.14
5.113636	-716.51	-716.51	-716.51	-716.51	-716.51
3.835227	-716.81	-716.81	-716.81	-716.81	-716.81
2.556818	-717.12	-717.12	-717.12	-717.12	-717.12
1.278409	-717.41	-717.41	-717.41	-717.41	-717.41
