时间轴	源量程	源程反应性	中间量程	中间反应性	功率量程	功率反应性	硼浓度PPM	D棒位	备注说明
标志->	0	7	1	7	2	7	5	3	3
5.600000	8.004736	0.000000	8.004736E-14	0.000000	2.301362E-14	0.000000	1.000000	112.500000	NaN
5.700000	8.004769	0.000000	8.004769E-14	0.000000	2.301371E-14	0.000000	1.000000	112.500000	NaN
5.800000	8.004802	0.000000	8.004802E-14	0.000000	2.301380E-14	0.000000	1.000000	112.500000	NaN
5.900000	8.004834	0.000000	8.004834E-14	0.000000	2.301390E-14	0.000000	1.000000	112.500000	NaN
6.000000	8.004867	0.000000	8.004867E-14	0.000000	2.301399E-14	0.000000	1.000000	112.500000	NaN
6.100000	8.004899	0.000000	8.004899E-14	0.000000	2.301409E-14	0.000000	1.000000	112.500000	NaN
6.200000	8.004931	0.000000	8.004931E-14	0.000000	2.301418E-14	0.000000	1.000000	112.500000	NaN
6.300000	8.004963	0.000000	8.004963E-14	0.000000	2.301427E-14	0.000000	1.000000	112.500000	NaN
6.400000	8.004995	0.000000	8.004995E-14	0.000000	2.301436E-14	0.000000	1.000000	112.500000	NaN
6.500000	8.005027	0.000000	8.005027E-14	0.000000	2.301445E-14	0.000000	1.000000	112.500000	NaN
6.600000	8.005059	0.000000	8.005059E-14	0.000000	2.301454E-14	0.000000	1.000000	112.500000	NaN
6.700000	8.005090	0.000000	8.005090E-14	0.000000	2.301463E-14	0.000000	1.000000	112.500000	NaN
6.800000	8.005121	0.000000	8.005121E-14	0.000000	2.301472E-14	0.000000	1.000000	112.500000	NaN
6.900000	8.005153	0.000000	8.005153E-14	0.000000	2.301481E-14	0.000000	1.000000	112.500000	NaN
7.000000	8.005184	0.000000	8.005184E-14	0.000000	2.301490E-14	0.000000	1.000000	112.500000	NaN
7.100000	8.005214	0.000000	8.005214E-14	0.000000	2.301499E-14	0.000000	1.000000	112.500000	NaN
7.200000	8.005245	0.000000	8.005245E-14	0.000000	2.301508E-14	0.000000	1.000000	112.500000	NaN
7.300000	8.005276	0.000000	8.005276E-14	0.000000	2.301517E-14	0.000000	1.000000	112.500000	NaN
7.400000	8.005306	0.000000	8.005306E-14	0.000000	2.301526E-14	0.000000	1.000000	112.500000	NaN
7.500000	8.005337	0.000000	8.005337E-14	0.000000	2.301534E-14	0.000000	1.000000	112.500000	NaN
7.600000	8.005367	0.000000	8.005367E-14	0.000000	2.301543E-14	0.000000	1.000000	112.500000	NaN
7.700000	8.005397	0.000000	8.005397E-14	0.000000	2.301552E-14	0.000000	1.000000	112.500000	NaN
7.800000	8.005427	0.000000	8.005427E-14	0.000000	2.301560E-14	0.000000	1.000000	112.500000	NaN
7.900000	8.005457	0.000000	8.005457E-14	0.000000	2.301569E-14	0.000000	1.000000	112.500000	NaN
8.000000	8.005486	0.000000	8.005486E-14	0.000000	2.301577E-14	0.000000	1.000000	112.500000	NaN
8.100000	8.005516	0.000000	8.005516E-14	0.000000	2.301586E-14	0.000000	1.000000	112.500000	NaN
8.200000	8.005545	0.000000	8.005545E-14	0.000000	2.301594E-14	0.000000	1.000000	112.500000	NaN
8.300000	8.005575	0.000000	8.005575E-14	0.000000	2.301603E-14	0.000000	1.000000	112.500000	NaN
8.400000	8.005604	0.000000	8.005604E-14	0.000000	2.301611E-14	0.000000	1.000000	112.500000	NaN
8.500000	8.005633	0.000000	8.005633E-14	0.000000	2.301620E-14	0.000000	1.000000	112.500000	NaN
8.600000	8.005662	0.000000	8.005662E-14	0.000000	2.301628E-14	0.000000	1.000000	112.500000	NaN
8.700000	8.005691	0.000000	8.005691E-14	0.000000	2.301636E-14	0.000000	1.000000	112.500000	NaN
8.800000	8.005720	0.000000	8.005720E-14	0.000000	2.301644E-14	0.000000	1.000000	112.500000	NaN
8.900000	8.005749	0.000000	8.005749E-14	0.000000	2.301653E-14	0.000000	1.000000	112.500000	NaN
9.000000	8.005777	0.000000	8.005777E-14	0.000000	2.301661E-14	0.000000	1.000000	112.500000	NaN
9.100000	8.005806	0.000000	8.005806E-14	0.000000	2.301669E-14	0.000000	1.000000	112.500000	NaN
9.200000	8.005834	0.000000	8.005834E-14	0.000000	2.301677E-14	0.000000	1.000000	112.500000	NaN
9.300000	8.005863	0.000000	8.005863E-14	0.000000	2.301685E-14	0.000000	1.000000	112.500000	NaN
9.400000	8.005891	0.000000	8.005891E-14	0.000000	2.301694E-14	0.000000	1.000000	112.500000	NaN
9.500000	8.005919	0.000000	8.005919E-14	0.000000	2.301702E-14	0.000000	1.000000	112.500000	NaN
9.600000	8.005947	0.000000	8.005947E-14	0.000000	2.301710E-14	0.000000	1.000000	112.500000	NaN
9.700000	8.005975	0.000000	8.005975E-14	0.000000	2.301718E-14	0.000000	1.000000	112.500000	NaN
9.800000	8.006003	0.000000	8.006003E-14	0.000000	2.301726E-14	0.000000	1.000000	112.500000	NaN
9.900000	8.006030	0.000000	8.006030E-14	0.000000	2.301734E-14	0.000000	1.000000	112.500000	NaN
10.000000	8.006058	0.000000	8.006058E-14	0.000000	2.301742E-14	0.000000	1.000000	112.500000	NaN
10.100000	8.006086	0.000000	8.006086E-14	0.000000	2.301750E-14	0.000000	1.000000	112.500000	NaN
10.200000	8.006113	0.000000	8.006113E-14	0.000000	2.301757E-14	0.000000	1.000000	112.500000	NaN
10.300000	8.006140	0.000000	8.006140E-14	0.000000	2.301765E-14	0.000000	1.000000	112.500000	NaN
10.400000	8.006168	0.000000	8.006168E-14	0.000000	2.301773E-14	0.000000	1.000000	112.500000	NaN
10.500000	8.006195	0.000000	8.006195E-14	0.000000	2.301781E-14	0.000000	1.000000	112.500000	NaN
10.600000	8.006222	0.000000	8.006222E-14	0.000000	2.301789E-14	0.000000	1.000000	112.500000	NaN
10.700000	8.006249	0.000000	8.006249E-14	0.000000	2.301797E-14	0.000000	1.000000	112.500000	NaN
10.800000	8.006276	0.000000	8.006276E-14	0.000000	2.301804E-14	0.000000	1.000000	112.500000	NaN
10.900000	8.006303	0.000000	8.006303E-14	0.000000	2.301812E-14	0.000000	1.000000	112.500000	NaN
11.000000	8.006330	0.000000	8.006330E-14	0.000000	2.301820E-14	0.000000	1.000000	112.500000	NaN
11.100000	8.006356	0.000000	8.006356E-14	0.000000	2.301827E-14	0.000000	1.000000	112.500000	NaN
11.200000	8.006383	0.000000	8.006383E-14	0.000000	2.301835E-14	0.000000	1.000000	112.500000	NaN
11.300000	8.006410	0.000000	8.006410E-14	0.000000	2.301843E-14	0.000000	1.000000	112.500000	NaN
11.400000	8.006436	0.000000	8.006436E-14	0.000000	2.301850E-14	0.000000	1.000000	112.500000	NaN
11.500000	8.006462	0.000000	8.006462E-14	0.000000	2.301858E-14	0.000000	1.000000	112.500000	NaN
11.600000	8.006489	0.000000	8.006489E-14	0.000000	2.301866E-14	0.000000	1.000000	112.500000	NaN
11.700000	8.006515	0.000000	8.006515E-14	0.000000	2.301873E-14	0.000000	1.000000	112.500000	NaN
